"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"80176",761.541610280407,0.104450506604747,0.0941508363820324,0.0625961829169071,0.265122435299479,"SPSB1"
"100506022",64.2724045260653,-0.0461270211815469,0.14036403780576,0.304348238786128,0.576856620871249,"LINC02606"
"84275",791.311968946834,0.0783156114971343,0.101166336996648,0.150709713330488,0.406604743277962,"SLC25A33"
"199953",1204.53528936307,0.00335566349469155,0.0697795188133119,0.943660885946499,0.97632656219082,"TMEM201"
"5293",2616.61741402025,-0.0703616281871095,0.08775233304163,0.17872898727526,0.44508241228315,"PIK3CD"
"101929074",35.6661348724939,0.0260618819680191,0.128317091956041,0.548486113938196,0.771791820359136,"PIK3CD-AS2"
"22883",39862.3887022791,-0.071568133677604,0.0823225292505087,0.165807058831436,0.426684281302868,"CLSTN1"
"56998",3292.21476855319,-0.107513417381666,0.0785453416162398,0.0414388014056328,0.214518225134673,"CTNNBIP1"
"84328",3107.00707700441,-0.0238888336560251,0.0552303575998621,0.58538459939082,0.796214082504305,"LZIC"
"64802",529.014358536323,0.0217843708400261,0.0728585064202242,0.650480156368981,0.835613931597206,"NMNAT1"
"10277",4399.11985635422,-0.0377047687431388,0.0523235792818306,0.37586111169303,0.641399637864542,"UBE4B"
"23095",69029.7914847301,-0.135900322998539,0.0887077928920349,0.0170593774086544,0.135054488461914,"KIF1B"
"5226",17993.2224183953,-0.0323039641611449,0.067869526838252,0.496999855516569,0.736596677121591,"PGD"
"378708",32.5628172271233,-0.0113184086272211,0.126982740355907,0.785495224713576,0.905224887875318,"CENPS"
"1325",53.5686598746172,-0.00479572686856884,0.117462582571655,0.913325738266351,0.962996673617137,"CORT"
"1676",1500.30916037151,0.0154124628314269,0.0671331985341957,0.743806112317314,0.883593946704003,"DFFA"
"5195",1447.91154944267,0.0231100666625176,0.0589262685988219,0.608633101177053,0.809746118053244,"PEX14"
"54897",592.076130230352,-0.0747641628572464,0.09587535162773,0.163263518501704,0.423285242448917,"CASZ1"
"23435",9539.30809646621,0.0675014198398431,0.0653082088950708,0.156947512453228,0.415651007057074,"TARDBP"
"10747",186.189024375515,0.00441249136832101,0.117017643652159,0.920404582157375,0.966472271109632,"MASP2"
"6723",4363.2228389758,-0.0133089237458612,0.0841685914404169,0.782963561321409,0.904075185005056,"SRM"
"5394",1578.80373169733,-0.0255328474727294,0.0752101648820722,0.597903528443228,0.803600077747797,"EXOSC10"
"2475",6918.30387683195,-0.0726066091378213,0.0636275327574396,0.124395667279308,0.368840036178774,"MTOR"
"29914",1761.9390419121,0.0229985000591516,0.0592440252472098,0.611180841658607,0.81111172467425,"UBIAD1"
"57540",4755.55802891528,0.00253615083000894,0.0634872761809992,0.956350597296722,0.983306027203855,"DISP3"
"26232",864.028807779517,-0.435484238714853,0.102050099333115,6.0717666909733e-07,0.00014957111721167,"FBXO2"
"93611",3098.68302426572,0.0175756257237224,0.0739947021352447,0.71479437703527,0.868554793240422,"FBXO44"
"26270",476.222523680842,0.0224292587685843,0.0787842726761572,0.644063097212235,0.831837676683302,"FBXO6"
"10459",2144.41127421563,0.0872514598292913,0.086853061275745,0.102694974247936,0.337610331808848,"MAD2L2"
"374946",5140.43880750838,-0.0751193833193124,0.0532561839623974,0.0813772781345385,0.302771052119076,"DRAXIN"
"57085",139.756279398044,0.0386816982233817,0.107804548994994,0.432390379580845,0.686690055873791,"AGTRAP"
"4524",2927.87950406484,-0.0107779366039544,0.0674938894005565,0.819304731158923,0.920319096942382,"MTHFR"
"1185",6553.23471180837,0.0669863242148859,0.0595575353266838,0.143047957039143,0.395737776212899,"CLCN6"
"4878",42.6430639089453,0.0164913753911008,0.126104879973399,0.698090141810243,0.859763788070949,"NPPA"
"90231",2783.5596241364,0.0867120000235013,0.0751375573695857,0.0888013047038023,0.315043513761016,"KIAA2013"
"5351",3745.98630285698,0.0124178775144657,0.0745669778900026,0.796053584518359,0.910107522744884,"PLOD1"
"9927",10505.6307704563,-0.0173689465549965,0.0616926964156266,0.705361255032952,0.862943163098228,"MFN2"
"60672",1702.0128178649,0.0719601106818815,0.0833296394642443,0.164999318184561,0.425969335130629,"MIIP"
"55187",4908.03519268686,-0.0887270529847622,0.0809242947367552,0.0903859805126071,0.317534378617865,"VPS13D"
"9249",495.136821438873,-0.169325242374693,0.193794313724244,0.020912841894402,0.149414507950598,"DHRS3"
"10630",1353.8545233629,0.0182939418112595,0.0828221352352167,0.705986871367072,0.863279550038153,"PDPN"
"7799",9683.23682687752,-0.0999752026305198,0.0637680322992649,0.0362243066661397,0.199514545875208,"PRDM2"
"23254",5074.98283564985,-0.0376264513022493,0.0852886086441394,0.448042423610554,0.698767504979197,"KAZN"
"200197",33.1073354881754,-0.00219570371823396,0.132791830558827,0.954544297249966,0.982528309199267,"TMEM51-AS1"
"55092",262.894357847073,0.0411367571683525,0.114522145040338,0.401548416910068,0.661651631402251,"TMEM51"
"79180",1152.12927721874,0.0859848231057564,0.116365241723323,0.128246942825881,0.374780941218334,"EFHD2"
"842",509.809639793044,-0.0284549709637097,0.0785861433170366,0.559580702113341,0.77886412680006,"CASP9"
